 slim_762328287 slim_762328261 slim_762328284 slim_762328263 slim_762328266 slim_762328262 slim_762328281 slim_762328278 slim_762328270 slim_762328289 slim_762328254 slim_762328259 slim_762328280 slim_762328297 slim_762328296 slim_762328295 slim_762328273 slim_762328272 slim_762328271 slim_762328260 slim_762328255 slim_762328265 slim_762328269 slim_762328282 slim_762328251 slim_762328285 slim_762328286 slim_762328256 slim_762328277 slim_762328253 slim_762328294 slim_762328267 slim_762328257 slim_762328276 slim_762328293 slim_762328292 slim_762328274 slim_762328264 slim_762328288 slim_762328283 slim_762328291 slim_762328279 slim_762328290 slim_762328268 slim_762328258 slim_762328252 slim_762328275
21 2.2e-06 1.6e-06 2.3e-06 2.45e-06 2.5e-06 1.5e-06 1.95e-06 2.15e-06 2.15e-06 1.45e-06 2.2e-06 2.15e-06 2.3e-06 1.45e-06 1.55e-06 2.1e-06 2.2e-06 2.25e-06 2.35e-06 2.3e-06 2.2e-06 2.8e-06 2.3e-06 2.6e-06 2.35e-06 1.95e-06 2.25e-06 2.1e-06 1.4e-06 1.65e-06 1.4e-06 2.2e-06 2.1e-06 1.45e-06 1.4e-06 1.55e-06 1.65e-06 1.5e-06 2.1e-06 2.85e-06 2.3e-06 2.25e-06 2.2e-06 2.35e-06 1.95e-06 1.6e-06 1.55e-06
22 2.1e-06 2.3e-06 2.4e-06 2.15e-06 2.65e-06 2.1e-06 1.85e-06 2e-06 2.45e-06 2.05e-06 2.05e-06 2.45e-06 2.1e-06 2.05e-06 2.05e-06 2.2e-06 2.3e-06 2.55e-06 2.9e-06 2.5e-06 1.65e-06 2.3e-06 2.2e-06 2.4e-06 2.55e-06 1.95e-06 2.35e-06 1.7e-06 2e-06 2.5e-06 2e-06 1.95e-06 2.3e-06 2.05e-06 2e-06 2.15e-06 2.2e-06 1.8e-06 2.2e-06 2.45e-06 2.85e-06 1.8e-06 2.15e-06 2.2e-06 1.85e-06 2.6e-06 2.15e-06
23 2.1e-06 2.4e-06 2.2e-06 2.35e-06 2.5e-06 2.5e-06 2.05e-06 2.3e-06 2.25e-06 2.45e-06 2.35e-06 2.25e-06 2.5e-06 2.45e-06 2.55e-06 2.05e-06 2.15e-06 2.3e-06 2.3e-06 2.05e-06 2.3e-06 2.6e-06 2.4e-06 2.4e-06 2.55e-06 1.8e-06 1.9e-06 2.25e-06 2.4e-06 2.45e-06 2.4e-06 2.35e-06 2e-06 2.4e-06 2.4e-06 2.55e-06 2.4e-06 2.65e-06 2.05e-06 1.75e-06 2.25e-06 2.4e-06 2.45e-06 2.6e-06 2.05e-06 2.5e-06 2.55e-06
24 2.85e-06 2.45e-06 2.85e-06 2.65e-06 2.4e-06 2.8e-06 2.35e-06 2.5e-06 2.85e-06 2.75e-06 2.55e-06 2.85e-06 2.7e-06 2.75e-06 2.9e-06 2.65e-06 2.75e-06 2.9e-06 2.5e-06 2.4e-06 2.6e-06 2.35e-06 2.55e-06 2.55e-06 2.8e-06 2.6e-06 2.45e-06 2.4e-06 2.7e-06 2.5e-06 2.7e-06 2.7e-06 2.2e-06 2.55e-06 2.7e-06 2.85e-06 2.6e-06 2.65e-06 2.65e-06 2.65e-06 2.45e-06 2.65e-06 2.5e-06 2.7e-06 2.35e-06 1.9e-06 2.85e-06
25 1.55e-06 1.35e-06 1.5e-06 1.7e-06 1.95e-06 1.05e-06 1.3e-06 1.5e-06 2.05e-06 1e-06 1.55e-06 2.05e-06 1.75e-06 1e-06 1.25e-06 1.35e-06 1.45e-06 2.1e-06 2.35e-06 1.75e-06 1.75e-06 1.95e-06 1.95e-06 1.8e-06 2.6e-06 1.9e-06 1.45e-06 1.55e-06 9.5e-07 1.7e-06 9.5e-07 1.7e-06 1.6e-06 1.1e-06 9.5e-07 1.1e-06 1.5e-06 1.4e-06 1.35e-06 1.8e-06 2.3e-06 1.75e-06 1.55e-06 1.85e-06 1.3e-06 2.2e-06 1.1e-06
26 2e-06 1.5e-06 1.95e-06 2.2e-06 2.15e-06 1.75e-06 1.75e-06 2e-06 2.35e-06 1.7e-06 2e-06 2.35e-06 2.25e-06 1.65e-06 1.95e-06 1.8e-06 1.9e-06 2.4e-06 2.1e-06 1.65e-06 2.15e-06 2.25e-06 2.35e-06 1.9e-06 2.45e-06 1.45e-06 2.5e-06 1.95e-06 1.65e-06 2e-06 1.65e-06 2.2e-06 1.5e-06 1.6e-06 1.65e-06 1.8e-06 1.65e-06 2.1e-06 1.8e-06 2e-06 2.05e-06 2.15e-06 2.05e-06 2.35e-06 1.75e-06 1.95e-06 1.8e-06
27 2e-06 1.65e-06 2e-06 1.95e-06 2.15e-06 1.45e-06 1.6e-06 1.75e-06 2.35e-06 1.4e-06 1.8e-06 2.35e-06 2e-06 1.4e-06 1.7e-06 1.8e-06 1.9e-06 2.4e-06 2.5e-06 2.1e-06 1.6e-06 2.1e-06 1.7e-06 2.25e-06 2.4e-06 1.55e-06 1.95e-06 2.7e-06 1.35e-06 1.9e-06 1.35e-06 2e-06 1.65e-06 1.4e-06 1.35e-06 1.5e-06 1.85e-06 1.65e-06 1.8e-06 2.3e-06 2.45e-06 1.7e-06 1.75e-06 2.1e-06 1.6e-06 2.2e-06 1.5e-06
28 1.6e-06 6e-07 1.45e-06 1.7e-06 1.75e-06 1e-07 1.2e-06 1.35e-06 1.85e-06 5e-08 1.4e-06 1.85e-06 1.65e-06 5e-08 4.5e-07 1.25e-06 1.35e-06 1.9e-06 2.2e-06 1.85e-06 1.7e-06 1.4e-06 2e-06 2.4e-06 2.7e-06 9.5e-07 1.65e-06 1.35e-06 0.0 9.5e-07 0.0 1.7e-06 1.55e-06 2e-07 0.0 1.5e-07 9e-07 6e-07 1.25e-06 2.55e-06 2.15e-06 1.6e-06 1.3e-06 1.75e-06 1.2e-06 1.8e-06 1.5e-07
29 2.15e-06 1.15e-06 2e-06 2.35e-06 2.15e-06 1.05e-06 1.8e-06 2e-06 1.9e-06 1e-06 2.05e-06 1.9e-06 2.3e-06 1e-06 1.35e-06 1.8e-06 1.85e-06 1.95e-06 1.85e-06 2e-06 2.25e-06 1.65e-06 2.5e-06 2.45e-06 2.5e-06 1.7e-06 2e-06 1.9e-06 9.5e-07 1.9e-06 9.5e-07 2.35e-06 1.8e-06 1e-06 9.5e-07 1.1e-06 1.45e-06 1.45e-06 1.8e-06 2.7e-06 1.8e-06 2.15e-06 1.95e-06 2.35e-06 1.8e-06 1.65e-06 1.1e-06
30 1.6e-06 6e-07 1.45e-06 1.7e-06 1.75e-06 1e-07 1.2e-06 1.35e-06 1.85e-06 5e-08 1.4e-06 1.85e-06 1.65e-06 5e-08 4.5e-07 1.25e-06 1.35e-06 1.9e-06 2.2e-06 1.85e-06 1.7e-06 1.4e-06 2e-06 2.4e-06 2.7e-06 9.5e-07 1.65e-06 1.35e-06 0.0 9.5e-07 0.0 1.7e-06 1.55e-06 2e-07 0.0 1.5e-07 9e-07 6e-07 1.25e-06 2.55e-06 2.15e-06 1.6e-06 1.3e-06 1.75e-06 1.2e-06 1.8e-06 1.5e-07
31 1.85e-06 2.1e-06 2.1e-06 1.75e-06 2.5e-06 1.8e-06 1.7e-06 1.55e-06 2.3e-06 1.75e-06 1.6e-06 2.3e-06 1.7e-06 1.75e-06 1.7e-06 1.9e-06 2e-06 2.4e-06 2.85e-06 2.3e-06 1.95e-06 2.2e-06 1.95e-06 2.35e-06 2.7e-06 1.7e-06 2.2e-06 2e-06 1.7e-06 2.35e-06 1.7e-06 2.8e-06 2.25e-06 1.85e-06 1.7e-06 1.85e-06 2e-06 1.55e-06 1.9e-06 2.15e-06 2.8e-06 2.1e-06 1.75e-06 1.75e-06 1.7e-06 2.65e-06 1.85e-06
32 2.1e-06 1.3e-06 2.05e-06 2.2e-06 2e-06 1.65e-06 1.8e-06 2e-06 2.25e-06 1.6e-06 2.05e-06 2.25e-06 2.25e-06 1.6e-06 1.9e-06 1.85e-06 1.95e-06 2.3e-06 1.85e-06 1.6e-06 1.9e-06 2.1e-06 2.3e-06 2e-06 2.2e-06 1.6e-06 1.5e-06 1.65e-06 1.55e-06 1.8e-06 1.55e-06 2.25e-06 2.1e-06 1.4e-06 1.55e-06 1.7e-06 1.5e-06 2.05e-06 1.85e-06 2.2e-06 1.8e-06 2e-06 2e-06 2.35e-06 1.8e-06 1.65e-06 1.7e-06
33 1.75e-06 6e-07 1.6e-06 1.85e-06 1.75e-06 3e-07 1.35e-06 1.5e-06 1.9e-06 2.5e-07 1.55e-06 1.9e-06 1.8e-06 2.5e-07 6.5e-07 1.4e-06 1.5e-06 1.95e-06 2.05e-06 1.8e-06 1.75e-06 1.45e-06 2.05e-06 2.4e-06 2.55e-06 1.1e-06 1.6e-06 1.4e-06 2e-07 1e-06 2e-07 1.85e-06 1.4e-06 4e-07 2e-07 3.5e-07 9e-07 8e-07 1.4e-06 2.65e-06 2e-06 1.65e-06 1.45e-06 1.9e-06 1.35e-06 1.65e-06 3.5e-07
34 1.6e-06 6e-07 1.45e-06 1.7e-06 1.75e-06 1e-07 1.2e-06 1.35e-06 1.85e-06 5e-08 1.4e-06 1.85e-06 1.65e-06 5e-08 4.5e-07 1.25e-06 1.35e-06 1.9e-06 2.2e-06 1.85e-06 1.7e-06 1.4e-06 2e-06 2.4e-06 2.7e-06 9.5e-07 1.65e-06 1.35e-06 0.0 9.5e-07 0.0 1.7e-06 1.55e-06 2e-07 0.0 1.5e-07 9e-07 6e-07 1.25e-06 2.55e-06 2.15e-06 1.6e-06 1.3e-06 1.75e-06 1.2e-06 1.8e-06 1.5e-07
35 1.75e-06 7.5e-07 1.6e-06 1.85e-06 1.9e-06 2.5e-07 1.35e-06 1.5e-06 2e-06 2e-07 1.55e-06 2e-06 1.8e-06 2e-07 6e-07 1.4e-06 1.5e-06 2.05e-06 2.35e-06 2e-06 1.85e-06 1.55e-06 2.15e-06 2.55e-06 2.85e-06 1.1e-06 1.8e-06 1.5e-06 1.5e-07 1.1e-06 1.5e-07 1.85e-06 1.7e-06 3.5e-07 1.5e-07 3e-07 1.05e-06 7.5e-07 1.4e-06 2.7e-06 2.3e-06 1.7e-06 1.45e-06 1.9e-06 1.35e-06 1.95e-06 3e-07
36 1.8e-06 9e-07 1.95e-06 2.2e-06 2.05e-06 1e-06 1.7e-06 1.9e-06 1.9e-06 9.5e-07 1.95e-06 1.9e-06 2e-06 9.5e-07 1.05e-06 1.75e-06 1.85e-06 2e-06 1.95e-06 1.75e-06 1.9e-06 1.65e-06 2.2e-06 2.4e-06 2.6e-06 1.5e-06 1.65e-06 1.85e-06 9e-07 1.45e-06 9e-07 2e-06 1.5e-06 9e-07 9e-07 1.05e-06 1.8e-06 1.25e-06 1.75e-06 2.65e-06 1.9e-06 2e-06 1.95e-06 2.1e-06 1.7e-06 1.6e-06 1.05e-06
37 1.7e-06 1.2e-06 1.8e-06 1.8e-06 2.15e-06 7e-07 1.4e-06 1.5e-06 1.95e-06 6.5e-07 1.55e-06 1.95e-06 1.65e-06 6.5e-07 7.5e-07 1.6e-06 1.7e-06 2.05e-06 2.55e-06 2.2e-06 1.75e-06 1.5e-06 1.8e-06 2.65e-06 2.65e-06 1.4e-06 2.1e-06 1.65e-06 6e-07 1.45e-06 6e-07 1.55e-06 2.05e-06 8e-07 6e-07 7.5e-07 1.25e-06 1.2e-06 1.6e-06 2.65e-06 2.5e-06 1.8e-06 1.55e-06 1.7e-06 1.4e-06 2.1e-06 7.5e-07
38 1.45e-06 1.6e-06 1.45e-06 1.9e-06 2.05e-06 1.35e-06 1.45e-06 1.7e-06 2.15e-06 1.3e-06 1.75e-06 2.15e-06 1.95e-06 1.3e-06 1.4e-06 1.25e-06 1.45e-06 2.15e-06 2.4e-06 1.65e-06 2e-06 2.1e-06 2.2e-06 2.05e-06 2.65e-06 1.35e-06 1.8e-06 1.8e-06 1.25e-06 1.8e-06 1.25e-06 1.9e-06 1.85e-06 1.4e-06 1.25e-06 1.4e-06 1.75e-06 1.6e-06 2.5e-06 1.4e-06 2.35e-06 2e-06 1.75e-06 1.9e-06 1.45e-06 2.3e-06 1.35e-06
39 1.45e-06 2.65e-06 1.45e-06 2.15e-06 2.4e-06 2.65e-06 1.75e-06 2.1e-06 2.5e-06 2.6e-06 2.15e-06 2.5e-06 2.3e-06 2.6e-06 2.4e-06 1.4e-06 1.6e-06 2.45e-06 2.65e-06 1.45e-06 2.35e-06 2.85e-06 2.45e-06 1.75e-06 2.65e-06 1.8e-06 2e-06 2.3e-06 2.55e-06 2.7e-06 2.55e-06 2.15e-06 2.2e-06 2.65e-06 2.55e-06 2.7e-06 2.65e-06 2.65e-06 1.4e-06 3e-07 2.6e-06 2.45e-06 2.25e-06 2.1e-06 1.75e-06 2.85e-06 2.6e-06
40 2.55e-06 1.75e-06 2.55e-06 2.65e-06 2.5e-06 2.25e-06 2.35e-06 2.6e-06 1.9e-06 2.2e-06 2.65e-06 1.9e-06 2.85e-06 2.2e-06 2.4e-06 2.35e-06 2.4e-06 1.95e-06 1.4e-06 1.95e-06 2.65e-06 2.3e-06 2.85e-06 2.25e-06 2.45e-06 2.3e-06 2.05e-06 2.45e-06 2.15e-06 1.8e-06 2.15e-06 2.8e-06 1.8e-06 2e-06 2.15e-06 2.3e-06 1.9e-06 2.5e-06 2.35e-06 2.6e-06 2.7e-06 2.65e-06 2.65e-06 2.9e-06 2.35e-06 1.75e-06 2.3e-06
