 slim_762015351 slim_762015317 slim_762015348 slim_762015309 slim_762015316 slim_762015335 slim_762015324 slim_762015349 slim_762015342 slim_762015336 slim_762015338 slim_762015340 slim_762015312 slim_762015346 slim_762015337 slim_762015345 slim_762015325 slim_762015329 slim_762015321 slim_762015347 slim_762015311 slim_762015319 slim_762015331 slim_762015328 slim_762015322 slim_762015320 slim_762015313 slim_762015323 slim_762015327 slim_762015344 slim_762015310 slim_762015330 slim_762015318 slim_762015339 slim_762015326 slim_762015341 slim_762015315 slim_762015332 slim_762015343 slim_762015333 slim_762015350 slim_762015314 slim_762015334 slim_762015308
10 2.1e-06 3.1e-06 2.4e-06 2.85e-06 2.15e-06 2.4e-06 2.15e-06 1.95e-06 2.1e-06 2.25e-06 2.3e-06 1.45e-06 2.9e-06 1.9e-06 2.35e-06 2.4e-06 2e-06 2e-06 1.95e-06 2.7e-06 2.15e-06 2.55e-06 2.6e-06 1.65e-06 2.05e-06 2.05e-06 1.95e-06 2.55e-06 1.7e-06 2.8e-06 2.05e-06 2e-06 2.1e-06 3e-06 2.45e-06 2.2e-06 3e-06 2.15e-06 2.25e-06 1.95e-06 2.65e-06 2.35e-06 2.4e-06 2.85e-06
11 1.35e-06 3.05e-06 1.65e-06 2.45e-06 1.5e-06 1.65e-06 2.5e-06 1.2e-06 1.4e-06 1.8e-06 1.45e-06 7e-07 3.05e-06 1.1e-06 2e-06 1.95e-06 1.5e-06 1.5e-06 1.9e-06 2.9e-06 2.55e-06 2.6e-06 2.3e-06 1.7e-06 2.1e-06 1.7e-06 2.2e-06 1.9e-06 1.5e-06 2.4e-06 1.2e-06 1.1e-06 1.4e-06 2.6e-06 2.05e-06 1.1e-06 2.7e-06 1.45e-06 1.75e-06 2.2e-06 2.15e-06 3e-06 2.95e-06 2.35e-06
12 2.55e-06 1.3e-06 2.85e-06 2.15e-06 3.15e-06 2.85e-06 3.05e-06 3.1e-06 2.85e-06 2.35e-06 2.9e-06 3.05e-06 2.4e-06 3.1e-06 2.45e-06 2.35e-06 2.7e-06 2.85e-06 2.45e-06 1.6e-06 2.15e-06 2.25e-06 2.3e-06 3.1e-06 2.35e-06 2.55e-06 3e-06 2.5e-06 3.1e-06 2.05e-06 3.05e-06 3.05e-06 2.55e-06 2.15e-06 2.2e-06 2.7e-06 1.95e-06 2.9e-06 2.25e-06 3e-06 2.1e-06 2.1e-06 1.5e-06 2.7e-06
13 1.55e-06 3e-06 1.8e-06 2.3e-06 1.85e-06 1.8e-06 2.65e-06 1.7e-06 1.45e-06 2.25e-06 1.9e-06 1.1e-06 3.1e-06 1.8e-06 2.25e-06 2.3e-06 1.85e-06 1.75e-06 2.05e-06 3.1e-06 2.75e-06 2.6e-06 2.4e-06 1.9e-06 2.2e-06 2.1e-06 2.5e-06 1.9e-06 1.85e-06 2.55e-06 1.55e-06 1.65e-06 1.4e-06 2.7e-06 2.25e-06 1.6e-06 2.75e-06 1.5e-06 2.05e-06 2.5e-06 2.3e-06 3.05e-06 3.15e-06 2.35e-06
14 2.05e-06 2.05e-06 2.5e-06 2.35e-06 2.55e-06 2.5e-06 2.9e-06 2.35e-06 2.4e-06 2.3e-06 2.35e-06 2e-06 2.45e-06 2.25e-06 3.7e-06 2.1e-06 2.5e-06 2.4e-06 2.3e-06 2.85e-06 2.75e-06 2.8e-06 2.2e-06 2.35e-06 2.5e-06 2.5e-06 2.7e-06 2.3e-06 2.4e-06 2.3e-06 2.35e-06 2.35e-06 2.05e-06 2.4e-06 2.2e-06 1.95e-06 2.55e-06 2.45e-06 2.15e-06 2.7e-06 2.2e-06 2.5e-06 2.8e-06 2.45e-06
15 2.15e-06 2.1e-06 2.4e-06 2.3e-06 2.35e-06 2.4e-06 2.8e-06 2.3e-06 2.35e-06 2.15e-06 2.4e-06 1.95e-06 2.35e-06 2.3e-06 2.1e-06 3.6e-06 2.5e-06 2.4e-06 2.3e-06 2.65e-06 2.75e-06 2.75e-06 2.3e-06 2.55e-06 2.35e-06 2.35e-06 2.75e-06 2.3e-06 2.5e-06 2.2e-06 2.2e-06 2.3e-06 2.1e-06 2.35e-06 2.15e-06 1.95e-06 2.4e-06 2.4e-06 1.9e-06 2.75e-06 2.1e-06 2.55e-06 2.8e-06 2.5e-06
16 1.95e-06 2.9e-06 2.3e-06 2.65e-06 2.25e-06 2.3e-06 2.8e-06 2.1e-06 2e-06 2.4e-06 2e-06 1.5e-06 2.7e-06 1.85e-06 2.5e-06 2.5e-06 2.5e-06 1.9e-06 2.35e-06 2.7e-06 2.45e-06 2.1e-06 2.65e-06 2.25e-06 2.5e-06 2.3e-06 2.65e-06 2.35e-06 2.1e-06 2.7e-06 1.95e-06 2.05e-06 2.05e-06 2.9e-06 2.3e-06 2e-06 2.6e-06 2.05e-06 2.3e-06 2.65e-06 2.5e-06 2.95e-06 2.55e-06 2.8e-06
17 1.95e-06 3.1e-06 1.8e-06 2.6e-06 1.7e-06 1.8e-06 2.25e-06 1.75e-06 1.8e-06 2.35e-06 2e-06 1.5e-06 2.85e-06 1.75e-06 2.4e-06 2.4e-06 1.9e-06 2.3e-06 2.05e-06 2.8e-06 2.35e-06 2.65e-06 2.4e-06 1.75e-06 2.45e-06 2.3e-06 2.3e-06 2.05e-06 1.85e-06 2.5e-06 1.55e-06 1.7e-06 2e-06 2.6e-06 2.45e-06 2.05e-06 2.2e-06 1.85e-06 2.05e-06 2.3e-06 2.3e-06 3e-06 2.6e-06 2.05e-06
18 2.25e-06 2.7e-06 2.35e-06 2.6e-06 2.25e-06 2.35e-06 2.45e-06 2.2e-06 2.4e-06 2.35e-06 1.95e-06 1.9e-06 2.45e-06 2.05e-06 2.3e-06 2.3e-06 2.35e-06 2.05e-06 2.5e-06 2.4e-06 2.55e-06 2.2e-06 2.2e-06 2.05e-06 1.6e-06 1.7e-06 2.4e-06 2.55e-06 2.35e-06 2.55e-06 2.3e-06 2.25e-06 2.1e-06 2.55e-06 2.25e-06 2.4e-06 2.7e-06 2.45e-06 2.1e-06 2.4e-06 2.4e-06 2.45e-06 2.4e-06 2.4e-06
19 2.65e-06 2.2e-06 2.7e-06 2.55e-06 2.95e-06 2.7e-06 2.8e-06 3e-06 2.65e-06 2.4e-06 2.7e-06 2.9e-06 1.6e-06 3.1e-06 2.85e-06 2.65e-06 2.7e-06 2.8e-06 2.4e-06 2e-06 2e-06 2.25e-06 2.65e-06 3e-06 2.3e-06 2.4e-06 2.85e-06 2.65e-06 2.95e-06 2.45e-06 2.95e-06 2.85e-06 2.7e-06 2.6e-06 2.65e-06 2.85e-06 2.45e-06 2.7e-06 2.45e-06 2.85e-06 2.55e-06 2.5e-06 1.3e-06 2.75e-06
20 2.5e-06 2.6e-06 2.45e-06 2.55e-06 2.9e-06 2.45e-06 2.6e-06 2.75e-06 2.05e-06 2.5e-06 2.15e-06 2.55e-06 2.15e-06 2.75e-06 2.75e-06 2.75e-06 2.45e-06 2.35e-06 2.55e-06 2e-06 3e-06 2.55e-06 2.75e-06 2e-06 2.65e-06 2.65e-06 2.45e-06 2.6e-06 2e-06 2.65e-06 2.65e-06 2.65e-06 2.6e-06 2.85e-06 2.75e-06 2.7e-06 2.55e-06 2.1e-06 2.55e-06 2.45e-06 2.65e-06 2.45e-06 1.55e-06 2.9e-06
21 2.65e-06 2.55e-06 2.95e-06 2.65e-06 2.95e-06 2.95e-06 2.95e-06 2.95e-06 2.8e-06 2.7e-06 2.55e-06 2.6e-06 2.25e-06 2.6e-06 2.8e-06 2.75e-06 2.1e-06 2.65e-06 2.2e-06 2.25e-06 2.55e-06 3.3e-06 2.75e-06 2.9e-06 2.25e-06 2.3e-06 2.95e-06 2.8e-06 2.9e-06 2.75e-06 2.8e-06 2.9e-06 2.55e-06 2.9e-06 2.65e-06 2.8e-06 2.65e-06 2.85e-06 2.55e-06 2.95e-06 2.7e-06 2.65e-06 2.2e-06 3.05e-06
22 2.1e-06 1.85e-06 2.4e-06 2.2e-06 2.6e-06 2.4e-06 2.85e-06 2.6e-06 2.35e-06 2.1e-06 2.6e-06 2.3e-06 2.3e-06 2.4e-06 2.2e-06 2.3e-06 2.65e-06 2.4e-06 2.2e-06 2.65e-06 2.75e-06 2.75e-06 3.4e-06 2.3e-06 2.55e-06 2.35e-06 2.85e-06 2.35e-06 2.35e-06 2.2e-06 2.45e-06 2.35e-06 2.2e-06 2.15e-06 2.15e-06 2.3e-06 2.3e-06 2.4e-06 2.05e-06 2.85e-06 2.05e-06 2.4e-06 2.95e-06 2.2e-06
23 2.05e-06 3.1e-06 2e-06 2.55e-06 2.2e-06 2e-06 2.25e-06 2.1e-06 1.6e-06 2.35e-06 1.65e-06 1.7e-06 3.1e-06 1.9e-06 2.35e-06 2.55e-06 2.25e-06 1.75e-06 2.05e-06 3e-06 2e-06 2.9e-06 2.3e-06 2.1e-06 2.6e-06 2.4e-06 2.15e-06 2.4e-06 1.3e-06 2.75e-06 2e-06 2e-06 2.1e-06 2.85e-06 2.55e-06 2.25e-06 2.85e-06 1.65e-06 2.3e-06 2.15e-06 2.55e-06 2.6e-06 2.75e-06 2.35e-06
24 2.25e-06 2.6e-06 2.45e-06 2.55e-06 2.45e-06 2.45e-06 2.6e-06 2.35e-06 2.3e-06 2.4e-06 2.05e-06 2.1e-06 2.35e-06 2.2e-06 2.5e-06 2.35e-06 2.5e-06 2.45e-06 1.6e-06 2.3e-06 2.65e-06 2.25e-06 2.55e-06 2.6e-06 2.5e-06 1.8e-06 2.5e-06 2.4e-06 2.7e-06 2.55e-06 2.4e-06 2.45e-06 2.15e-06 2.65e-06 2.35e-06 2.5e-06 2.75e-06 2.35e-06 2.2e-06 2.5e-06 2.5e-06 2.45e-06 2.35e-06 2.8e-06
25 2.1e-06 2.7e-06 2.3e-06 2.6e-06 2.25e-06 2.3e-06 2.7e-06 2.15e-06 2.2e-06 2.05e-06 2.05e-06 1.7e-06 2.55e-06 2.1e-06 2.5e-06 2.35e-06 2.3e-06 2.3e-06 1.7e-06 2.4e-06 2.65e-06 2.3e-06 2.35e-06 2.4e-06 1.8e-06 3.1e-06 2.6e-06 2.45e-06 2.3e-06 2.5e-06 2.15e-06 2e-06 2.15e-06 2.6e-06 2.3e-06 2.2e-06 2.7e-06 2.25e-06 2.05e-06 2.6e-06 2.35e-06 2.7e-06 2.65e-06 2.65e-06
26 2.35e-06 3.1e-06 2.2e-06 3e-06 2.6e-06 2.2e-06 2.4e-06 1.95e-06 2.5e-06 2.7e-06 1.95e-06 2.2e-06 3e-06 2.5e-06 2.7e-06 2.75e-06 2.65e-06 2.3e-06 2.4e-06 2.85e-06 2.45e-06 2.95e-06 2.85e-06 2.15e-06 2.5e-06 2.6e-06 3.5e-06 2.55e-06 2.15e-06 2.5e-06 2.25e-06 2.05e-06 2.5e-06 2.6e-06 2.85e-06 2.45e-06 3e-06 2.55e-06 2.4e-06 1.75e-06 2.7e-06 2.6e-06 2.6e-06 2.8e-06
27 1.45e-06 2.15e-06 1.65e-06 1.95e-06 2e-06 1.65e-06 2.6e-06 1.95e-06 1.4e-06 2.2e-06 2.55e-06 1.9e-06 2.5e-06 1.9e-06 2.3e-06 2.3e-06 2.35e-06 2.05e-06 2.55e-06 2.65e-06 2.6e-06 2.8e-06 2.35e-06 2.4e-06 2.4e-06 2.45e-06 2.55e-06 2.1e-06 2.2e-06 1.9e-06 1.4e-06 1.8e-06 1.65e-06 2.1e-06 2.25e-06 1.7e-06 2.15e-06 1.45e-06 2e-06 2.55e-06 1.9e-06 2.85e-06 2.85e-06 1.85e-06
28 1.7e-06 3e-06 1.75e-06 2.45e-06 2.15e-06 1.75e-06 2.4e-06 1.9e-06 1.3e-06 2.05e-06 1.7e-06 1.5e-06 3.1e-06 1.85e-06 2.4e-06 2.5e-06 2.1e-06 1.85e-06 2.35e-06 2.95e-06 2e-06 2.9e-06 2.35e-06 1.3e-06 2.7e-06 2.3e-06 2.15e-06 2.2e-06 2.1e-06 2.6e-06 1.75e-06 1.65e-06 2.05e-06 2.7e-06 2.5e-06 1.95e-06 2.75e-06 1.35e-06 2.15e-06 2.15e-06 2.4e-06 2.75e-06 2.9e-06 2.45e-06
29 2e-06 1.6e-06 2e-06 2.05e-06 2.55e-06 2e-06 2.9e-06 2.15e-06 2.3e-06 2.05e-06 2.8e-06 2.4e-06 2.05e-06 2.55e-06 2.3e-06 2.2e-06 2.7e-06 2.5e-06 2.55e-06 2.45e-06 2.65e-06 2.75e-06 2.2e-06 2.75e-06 2.55e-06 2.5e-06 2.5e-06 1.9e-06 2.6e-06 2.9e-06 2.15e-06 2.05e-06 2.15e-06 1.7e-06 2.15e-06 2e-06 2.05e-06 2.35e-06 1.85e-06 2.5e-06 1.8e-06 2.5e-06 2.65e-06 2.2e-06
30 1.6e-06 2.95e-06 1.5e-06 2.35e-06 1.45e-06 1.5e-06 2.25e-06 1.45e-06 1.4e-06 2.05e-06 2.05e-06 1.2e-06 3.05e-06 1.55e-06 2.35e-06 2.2e-06 1.95e-06 1.55e-06 2.3e-06 2.95e-06 2.65e-06 2.8e-06 2.45e-06 2e-06 2.4e-06 2.15e-06 2.25e-06 1.4e-06 1.75e-06 2.15e-06 1.5e-06 1.3e-06 1.8e-06 2.35e-06 2.3e-06 1.55e-06 2.35e-06 1.45e-06 1.6e-06 2.25e-06 2e-06 3.1e-06 3.15e-06 2e-06
31 1.4e-06 2.95e-06 1.3e-06 2.5e-06 1.8e-06 1.3e-06 2.7e-06 1.15e-06 1.5e-06 1.9e-06 2e-06 1.1e-06 3.05e-06 1.65e-06 2.35e-06 2.3e-06 2.05e-06 1.7e-06 2.25e-06 2.85e-06 2.65e-06 2.9e-06 2.35e-06 2e-06 2.45e-06 2e-06 2.05e-06 1.8e-06 1.65e-06 2.05e-06 1.3e-06 1.7e-06 1.75e-06 2.15e-06 2.35e-06 1.45e-06 2.6e-06 1.55e-06 1.8e-06 2.05e-06 2.1e-06 3.2e-06 3.05e-06 2.2e-06
32 1.35e-06 2.3e-06 1.8e-06 2e-06 2.1e-06 1.8e-06 2.8e-06 1.8e-06 1.55e-06 2.15e-06 2.1e-06 1.4e-06 2.55e-06 1.4e-06 2.05e-06 2.1e-06 2.05e-06 2e-06 2.1e-06 2.7e-06 2.6e-06 2.55e-06 2.2e-06 2.1e-06 2.15e-06 2.15e-06 2.5e-06 1.65e-06 2.05e-06 2.15e-06 1.8e-06 1.75e-06 2.4e-06 2.3e-06 2.05e-06 1.4e-06 2.5e-06 1.6e-06 2e-06 2.5e-06 2.05e-06 2.75e-06 2.75e-06 2.1e-06
33 2.1e-06 1.7e-06 2.05e-06 2.2e-06 2.7e-06 2.05e-06 3.05e-06 2.25e-06 2.5e-06 2.3e-06 3e-06 2.6e-06 2.15e-06 2.7e-06 2.4e-06 2.35e-06 2.9e-06 2.6e-06 2.55e-06 2.6e-06 2.85e-06 2.9e-06 2.15e-06 2.85e-06 2.65e-06 2.6e-06 2.6e-06 2.1e-06 2.7e-06 1.7e-06 2.35e-06 2.15e-06 2.3e-06 3.3e-06 2.25e-06 2.2e-06 2.15e-06 2.55e-06 2e-06 2.6e-06 1.9e-06 2.6e-06 2.85e-06 2.25e-06
34 2.05e-06 1.8e-06 2.45e-06 2.2e-06 2.45e-06 2.45e-06 2.9e-06 2.4e-06 2.35e-06 2.15e-06 2.45e-06 2.05e-06 2.2e-06 2.25e-06 2.2e-06 2.15e-06 2.3e-06 2.45e-06 2.25e-06 2.65e-06 2.75e-06 2.65e-06 2.15e-06 2.55e-06 2.35e-06 2.3e-06 2.85e-06 2.25e-06 2.5e-06 2.15e-06 2.3e-06 2.35e-06 2.05e-06 2.25e-06 3.6e-06 2.1e-06 2.3e-06 2.4e-06 2e-06 2.85e-06 2e-06 2.45e-06 2.8e-06 2.45e-06
35 1.3e-06 2.35e-06 1.75e-06 2.25e-06 2.1e-06 1.75e-06 2.95e-06 1.6e-06 1.7e-06 2.05e-06 2.2e-06 1.1e-06 2.7e-06 1.6e-06 1.95e-06 1.95e-06 2e-06 2.05e-06 2.4e-06 2.85e-06 2.7e-06 2.8e-06 2.3e-06 2.25e-06 2.5e-06 2.2e-06 2.45e-06 1.7e-06 1.95e-06 2e-06 1.55e-06 1.45e-06 1.4e-06 2.2e-06 2.1e-06 1.5e-06 2.5e-06 1.75e-06 1.8e-06 2.45e-06 1.95e-06 2.95e-06 2.95e-06 2.15e-06
36 2.4e-06 1.75e-06 2.45e-06 2.2e-06 2.5e-06 2.45e-06 2.75e-06 2.75e-06 2.5e-06 2.35e-06 3e-06 2.7e-06 1.95e-06 2.75e-06 2.55e-06 2.4e-06 2.6e-06 2.2e-06 2.7e-06 2.45e-06 2.55e-06 2.65e-06 2.3e-06 2.85e-06 2.75e-06 2.7e-06 3e-06 2.15e-06 2.75e-06 2.05e-06 2.35e-06 2.6e-06 2.5e-06 2.15e-06 2.3e-06 2.5e-06 3.3e-06 2.55e-06 2.1e-06 3e-06 1.95e-06 2.55e-06 2.55e-06 2.25e-06
37 1.3e-06 2.8e-06 1.1e-06 1.8e-06 2e-06 1.1e-06 2.75e-06 1.8e-06 1e-07 1.95e-06 2.15e-06 1.45e-06 2.9e-06 1.5e-06 2.45e-06 2.4e-06 2.05e-06 1.85e-06 2.45e-06 2.7e-06 2.1e-06 2.85e-06 2.4e-06 1.65e-06 2.35e-06 2.25e-06 2.55e-06 1.45e-06 1.35e-06 2.35e-06 1.45e-06 1.55e-06 1.6e-06 2.55e-06 2.4e-06 1.75e-06 2.55e-06 2e-07 2.1e-06 2.55e-06 2.2e-06 3.15e-06 2.9e-06 2.3e-06
38 1.9e-06 2e-06 1.95e-06 2.1e-06 2.05e-06 1.95e-06 2.5e-06 1.95e-06 2.05e-06 1.8e-06 2.25e-06 1.75e-06 2.25e-06 2.05e-06 2.15e-06 1.9e-06 2.3e-06 2.05e-06 2.1e-06 2.45e-06 2.55e-06 2.55e-06 2.05e-06 2.3e-06 2.2e-06 2.05e-06 2.4e-06 2e-06 2.15e-06 1.85e-06 1.6e-06 1.8e-06 2e-06 2e-06 2e-06 1.8e-06 2.1e-06 2.1e-06 2.6e-06 2.4e-06 1.8e-06 2.45e-06 2.7e-06 2.2e-06
39 2.35e-06 3.1e-06 2.2e-06 3e-06 2.6e-06 2.2e-06 2.4e-06 1.95e-06 2.5e-06 2.7e-06 1.95e-06 2.2e-06 3e-06 2.5e-06 2.7e-06 2.75e-06 2.65e-06 2.3e-06 2.4e-06 2.85e-06 2.45e-06 2.95e-06 2.85e-06 2.15e-06 2.5e-06 2.6e-06 1.75e-06 2.55e-06 2.15e-06 2.5e-06 2.25e-06 2.05e-06 2.5e-06 2.6e-06 2.85e-06 2.45e-06 3e-06 2.55e-06 2.4e-06 3.5e-06 2.7e-06 2.6e-06 2.6e-06 2.8e-06
40 1.95e-06 1.65e-06 2.1e-06 2e-06 2.3e-06 2.1e-06 2.75e-06 2.25e-06 2.15e-06 2.05e-06 2.65e-06 2.15e-06 2.1e-06 2.3e-06 2.2e-06 2.1e-06 2.5e-06 2.3e-06 2.4e-06 2.55e-06 2.65e-06 2.7e-06 2.05e-06 2.55e-06 2.5e-06 2.35e-06 2.7e-06 1.9e-06 2.4e-06 1.8e-06 2e-06 2.1e-06 2.05e-06 1.9e-06 2e-06 1.95e-06 1.95e-06 2.2e-06 1.8e-06 2.7e-06 3.2e-06 2.45e-06 2.8e-06 2.1e-06
41 2.8e-06 1.85e-06 3.2e-06 2.55e-06 3.15e-06 3.2e-06 2.55e-06 3.2e-06 3.1e-06 2.6e-06 2.35e-06 3e-06 2.1e-06 3.05e-06 2.5e-06 2.55e-06 2.95e-06 3e-06 2.45e-06 2.5e-06 2.45e-06 2.65e-06 2.4e-06 2.6e-06 2.45e-06 2.7e-06 2.6e-06 2.85e-06 2.75e-06 2.5e-06 3.1e-06 3.2e-06 2.75e-06 2.6e-06 2.45e-06 2.95e-06 2.55e-06 3.15e-06 2.45e-06 2.6e-06 2.45e-06 3.5e-06 2.4e-06 2.9e-06
42 2.8e-06 2.4e-06 2.95e-06 2.8e-06 3.3e-06 2.95e-06 2.9e-06 3e-06 2.85e-06 2.75e-06 2.4e-06 2.95e-06 1.5e-06 3.15e-06 2.8e-06 2.8e-06 2.55e-06 2.6e-06 2.4e-06 1.3e-06 1.55e-06 2.2e-06 2.95e-06 2.75e-06 2.35e-06 2.65e-06 2.6e-06 2.85e-06 2.9e-06 2.65e-06 3.15e-06 3.05e-06 2.75e-06 2.85e-06 2.8e-06 2.95e-06 2.55e-06 2.9e-06 2.7e-06 2.6e-06 2.8e-06 2.4e-06 8e-07 3.15e-06
