 slim_762117550 slim_762117561 slim_762117544 slim_762117571 slim_762117564 slim_762117577 slim_762117563 slim_762117576 slim_762117566 slim_762117554 slim_762117543 slim_762117548 slim_762117570 slim_762117562 slim_762117565 slim_762117575 slim_762117555 slim_762117553 slim_762117559 slim_762117556 slim_762117542 slim_762117545 slim_762117560 slim_762117552 slim_762117574 slim_762117558 slim_762117567 slim_762117568 slim_762117547 slim_762117549 slim_762117551 slim_762117546 slim_762117573 slim_762117578 slim_762117569 slim_762117572 slim_762117557
10 1.95e-06 3.35e-06 1.3e-06 2.65e-06 1.5e-06 2.75e-06 2.5e-06 2.95e-06 2.35e-06 2.3e-06 2e-07 2.25e-06 1.25e-06 2.3e-06 1.4e-06 2.6e-06 1.75e-06 1.1e-06 1.1e-06 2.45e-06 1.5e-07 2.65e-06 2.7e-06 1.35e-06 2.95e-06 7.5e-07 1.45e-06 1.95e-06 2.5e-06 1.65e-06 2.65e-06 2.75e-06 2.1e-06 2.35e-06 1.15e-06 2.2e-06 2.65e-06
11 1.45e-06 2.65e-06 1.7e-06 1.6e-06 1.5e-06 1.4e-06 1.2e-06 2e-06 1.7e-06 1.7e-06 2.25e-06 2.1e-06 2.1e-06 1.65e-06 1.65e-06 1.25e-06 2.05e-06 2.6e-06 2.5e-06 1.25e-06 2.1e-06 1.35e-06 1.35e-06 2.45e-06 2.2e-06 2e-06 1.85e-06 1.7e-06 1.7e-06 2.5e-06 1.6e-06 1.55e-06 1.6e-06 1.45e-06 2.15e-06 1.85e-06 1.3e-06
12 1.8e-06 3.05e-06 1.65e-06 2.35e-06 1.8e-06 2.35e-06 2.1e-06 2.8e-06 2.25e-06 2.1e-06 1.25e-06 2.1e-06 2.4e-06 2.2e-06 1.7e-06 2.2e-06 1.85e-06 1.95e-06 1.95e-06 2.3e-06 1.2e-06 2.25e-06 2.3e-06 2.15e-06 2.4e-06 1.55e-06 1.8e-06 1.85e-06 1.8e-06 2.4e-06 2.35e-06 2.35e-06 2e-06 1.65e-06 1.75e-06 2.35e-06 2.25e-06
13 1.45e-06 2.55e-06 1.6e-06 1.25e-06 2.3e-06 1.1e-06 8.5e-07 2.5e-06 1.2e-06 1.25e-06 2.3e-06 1.65e-06 2.2e-06 1.6e-06 2.4e-06 9.5e-07 1.45e-06 2.55e-06 2.5e-06 1.6e-06 2.15e-06 1.05e-06 1e-06 2.45e-06 2.2e-06 1.7e-06 1.7e-06 1.35e-06 1.65e-06 2.2e-06 1.25e-06 1.25e-06 1.7e-06 1.35e-06 1.8e-06 1.45e-06 9.5e-07
14 2.15e-06 3.25e-06 1.85e-06 2.55e-06 1.45e-06 2.6e-06 2.35e-06 2.45e-06 2.45e-06 2.4e-06 1.4e-06 1.65e-06 1.7e-06 2.4e-06 2.1e-06 2.45e-06 2.15e-06 2e-06 1.95e-06 1.95e-06 1.35e-06 2.5e-06 2.55e-06 2e-06 2.7e-06 1.65e-06 2e-06 2.2e-06 2.25e-06 2.25e-06 2.55e-06 2.6e-06 2.25e-06 2.1e-06 1.95e-06 2.4e-06 2.5e-06
15 8.5e-07 2.35e-06 1.45e-06 8e-07 2.05e-06 3.5e-07 3e-07 2.25e-06 1e-06 9.5e-07 2.6e-06 1.25e-06 2.2e-06 9.5e-07 2.45e-06 4e-07 1.75e-06 2.85e-06 2.75e-06 1.2e-06 2.45e-06 4e-07 3e-07 2.75e-06 1.75e-06 1.9e-06 1.45e-06 1.2e-06 1.3e-06 2.55e-06 9e-07 7e-07 1.15e-06 9e-07 2e-06 1.25e-06 3.5e-07
16 1.9e-06 2.55e-06 1.7e-06 1.65e-06 2.4e-06 1.9e-06 1.65e-06 2.75e-06 1.25e-06 1.45e-06 1.75e-06 2.05e-06 1.85e-06 1.45e-06 2.15e-06 1.75e-06 1.5e-06 2.15e-06 2.15e-06 2.15e-06 1.6e-06 1.7e-06 1.85e-06 2.1e-06 2.45e-06 1.5e-06 1.85e-06 1.4e-06 1.75e-06 2.05e-06 1.65e-06 1.8e-06 2.1e-06 1.7e-06 1.5e-06 1.85e-06 1.8e-06
17 2.45e-06 3.05e-06 1.9e-06 2.9e-06 2.05e-06 3e-06 2.75e-06 2.9e-06 2.6e-06 2.5e-06 1.1e-06 2.6e-06 1.95e-06 2.55e-06 2e-06 2.85e-06 2.15e-06 2.1e-06 1.15e-06 2.65e-06 1.05e-06 2.9e-06 2.95e-06 1.25e-06 3.1e-06 1.45e-06 2.05e-06 2.35e-06 2.9e-06 1.2e-06 2.9e-06 2.85e-06 2.55e-06 2.75e-06 1.7e-06 2.2e-06 2.9e-06
18 2.35e-06 2.95e-06 1.85e-06 2.8e-06 1.95e-06 2.9e-06 2.65e-06 2.8e-06 2.55e-06 2.45e-06 1.1e-06 2.5e-06 1.95e-06 2.5e-06 1.95e-06 2.75e-06 2.15e-06 1.15e-06 2.1e-06 2.55e-06 1.05e-06 2.8e-06 2.85e-06 1.25e-06 3e-06 1.45e-06 2e-06 2.35e-06 2.8e-06 1.2e-06 2.8e-06 2.75e-06 2.45e-06 2.65e-06 1.75e-06 2.15e-06 2.8e-06
19 1.5e-06 2.55e-06 1.8e-06 1.55e-06 1.5e-06 1.35e-06 1.1e-06 1.85e-06 1.7e-06 1.55e-06 2.45e-06 1.25e-06 2.3e-06 1.6e-06 1.95e-06 1.2e-06 2.15e-06 2.65e-06 2.55e-06 2.1e-06 2.3e-06 1.3e-06 1.25e-06 2.55e-06 2.2e-06 2.1e-06 1.9e-06 1.75e-06 1.75e-06 2.45e-06 1.5e-06 1.5e-06 1.65e-06 1.5e-06 2.25e-06 1.8e-06 1.15e-06
20 1.85e-06 3.2e-06 1.25e-06 2.5e-06 1.45e-06 2.6e-06 2.35e-06 2.8e-06 2.2e-06 2.15e-06 1.5e-07 2.1e-06 1.2e-06 2.15e-06 1.35e-06 2.45e-06 1.6e-06 1.05e-06 1.05e-06 2.3e-06 1e-07 2.5e-06 2.55e-06 1.2e-06 2.8e-06 7.5e-07 1.4e-06 1.8e-06 2.35e-06 1.5e-06 2.5e-06 2.6e-06 1.95e-06 2.2e-06 1.1e-06 2.05e-06 2.5e-06
21 9.5e-07 2.3e-06 1.55e-06 8e-07 2.1e-06 5.5e-07 4.5e-07 2.3e-06 1.05e-06 1.05e-06 2.65e-06 1.35e-06 2.25e-06 1.05e-06 2.5e-06 4e-07 1.7e-06 2.9e-06 2.8e-06 1.3e-06 2.5e-06 7e-07 4.5e-07 2.8e-06 1.85e-06 2e-06 1.55e-06 1.3e-06 1.25e-06 2.6e-06 9e-07 8e-07 1.25e-06 1e-06 2.1e-06 1.35e-06 5e-07
22 9e-07 2.45e-06 1.55e-06 8.5e-07 2.15e-06 4e-07 3e-07 2.35e-06 1.15e-06 1e-06 2.7e-06 1.35e-06 2.3e-06 1e-06 2.55e-06 3e-07 1.85e-06 2.95e-06 2.85e-06 1.25e-06 2.55e-06 4.5e-07 4e-07 2.85e-06 1.8e-06 2e-06 1.45e-06 1.25e-06 1.4e-06 2.65e-06 9.5e-07 7.5e-07 1.2e-06 9.5e-07 2.1e-06 1.3e-06 3.5e-07
23 2.5e-06 2.95e-06 2e-06 2.8e-06 2.15e-06 2.9e-06 2.65e-06 2.8e-06 2.5e-06 2.4e-06 1.35e-06 2.45e-06 2.15e-06 2.45e-06 2e-06 2.75e-06 2.1e-06 1.25e-06 1.25e-06 2.55e-06 1.2e-06 2.8e-06 2.85e-06 1.9e-06 3.05e-06 1.6e-06 2.15e-06 2.4e-06 2.85e-06 1.1e-06 2.8e-06 2.75e-06 2.5e-06 2.7e-06 1.85e-06 2.1e-06 2.8e-06
24 1.85e-06 1.9e-06 2.35e-06 2.1e-06 2.5e-06 1.9e-06 1.65e-06 2e-06 2.3e-06 2e-06 2.95e-06 2.2e-06 2.4e-06 2.2e-06 2.7e-06 1.75e-06 2.45e-06 3.1e-06 3e-06 2.2e-06 2.8e-06 1.85e-06 1.8e-06 3.05e-06 2.7e-06 2.75e-06 2.4e-06 2.1e-06 1.9e-06 3.15e-06 2.15e-06 1.85e-06 2.15e-06 1.65e-06 2.85e-06 2.55e-06 1.8e-06
25 1.85e-06 3.05e-06 1.25e-06 2.05e-06 1.8e-06 2.05e-06 1.85e-06 2.8e-06 1.75e-06 1.8e-06 7.5e-07 2e-06 1.55e-06 1.7e-06 1.65e-06 1.9e-06 1.5e-06 1.45e-06 1.45e-06 2.1e-06 7.5e-07 2e-06 2e-06 1.6e-06 2.75e-06 1.4e-06 1.4e-06 1.65e-06 2.25e-06 1.65e-06 2.05e-06 2.15e-06 2e-06 2e-06 1.1e-06 1.8e-06 1.95e-06
26 1.4e-06 2.95e-06 1.45e-06 1.75e-06 1.85e-06 1.55e-06 1.45e-06 2.7e-06 1.8e-06 1.65e-06 1.45e-06 1.85e-06 1.8e-06 1.7e-06 2e-06 1.45e-06 1.85e-06 2.05e-06 2e-06 1.9e-06 1.4e-06 1.55e-06 1.45e-06 2.15e-06 2.4e-06 1.4e-06 2.8e-06 1.65e-06 2e-06 2.2e-06 1.85e-06 1.75e-06 1.65e-06 1.7e-06 1.65e-06 1.75e-06 1.55e-06
27 1.4e-06 2.5e-06 1.55e-06 1.4e-06 2.15e-06 1.35e-06 1.1e-06 2.55e-06 1.35e-06 1.4e-06 1.95e-06 1.7e-06 1.85e-06 1.35e-06 2.2e-06 1.2e-06 1.4e-06 2.35e-06 2.35e-06 1.75e-06 1.8e-06 1.3e-06 1.25e-06 2.4e-06 2.1e-06 1.65e-06 1.65e-06 2.1e-06 1.65e-06 2.4e-06 1.4e-06 1.4e-06 1.7e-06 1.35e-06 1.55e-06 1.75e-06 1.2e-06
28 1.45e-06 2.45e-06 1.85e-06 1.5e-06 2.05e-06 1.45e-06 1.2e-06 2.4e-06 1.6e-06 1.55e-06 2.5e-06 1.7e-06 1.8e-06 1.65e-06 2.25e-06 1.3e-06 1.75e-06 2.9e-06 2.8e-06 1.75e-06 2.35e-06 1.25e-06 1.4e-06 2.85e-06 1.9e-06 2.25e-06 2e-06 1.65e-06 1.8e-06 2.85e-06 1.5e-06 1.5e-06 1.7e-06 1.05e-06 2.35e-06 2.05e-06 1.35e-06
29 2.55e-06 2.95e-06 2.05e-06 2.6e-06 2.3e-06 2.7e-06 2.45e-06 2.8e-06 2.3e-06 2.3e-06 1.65e-06 2.5e-06 2.4e-06 2.2e-06 2.25e-06 2.55e-06 2.05e-06 1.2e-06 1.2e-06 2.45e-06 1.5e-06 2.6e-06 2.65e-06 1.1e-06 3.15e-06 1.65e-06 2.2e-06 2.4e-06 2.85e-06 1.1e-06 2.6e-06 2.55e-06 2.55e-06 2.7e-06 1.9e-06 1.65e-06 2.6e-06
30 1.4e-06 2.15e-06 1.75e-06 8.5e-07 2.25e-06 1.05e-06 8e-07 2.45e-06 1.15e-06 1.4e-06 2.65e-06 1.6e-06 2.35e-06 1.25e-06 2.55e-06 9e-07 1.65e-06 2.9e-06 2.8e-06 1.5e-06 2.5e-06 9e-07 9.5e-07 2.8e-06 2.15e-06 2.05e-06 1.85e-06 1.4e-06 1.5e-06 2.6e-06 1.5e-06 1.1e-06 1.65e-06 1.3e-06 2.05e-06 1.65e-06 8.5e-07
31 1.2e-06 2.1e-06 1.75e-06 1e-06 2.2e-06 8.5e-07 7e-07 2.25e-06 1.25e-06 1.25e-06 2.75e-06 1.55e-06 2.35e-06 1.25e-06 2.6e-06 7e-07 1.8e-06 2.85e-06 2.75e-06 1.5e-06 2.6e-06 8e-07 7.5e-07 2.75e-06 1.85e-06 2.15e-06 1.75e-06 1.4e-06 1.5e-06 2.55e-06 1.1e-06 1.3e-06 1.45e-06 1.2e-06 2.15e-06 1.55e-06 8e-07
32 1.2e-06 2.75e-06 1.65e-06 1.55e-06 1.8e-06 1.3e-06 1.15e-06 2.45e-06 1.8e-06 1.55e-06 2.1e-06 1.6e-06 2e-06 1.7e-06 2.25e-06 1.15e-06 2.1e-06 2.55e-06 2.45e-06 1.65e-06 1.95e-06 1.25e-06 1.2e-06 2.5e-06 2.15e-06 2e-06 1.65e-06 1.7e-06 1.7e-06 2.55e-06 1.65e-06 1.45e-06 2.2e-06 1.4e-06 2.15e-06 1.75e-06 1.25e-06
33 1.15e-06 2.4e-06 1.6e-06 1.3e-06 1.95e-06 1.05e-06 8e-07 2.3e-06 1.45e-06 1.3e-06 2.35e-06 1.45e-06 1.65e-06 1.35e-06 2.1e-06 9e-07 1.7e-06 2.75e-06 2.65e-06 1.5e-06 2.2e-06 1e-06 9.5e-07 2.7e-06 1.65e-06 2e-06 1.7e-06 1.35e-06 1.05e-06 2.7e-06 1.3e-06 1.2e-06 1.4e-06 1.5e-06 2.1e-06 1.75e-06 9e-07
34 1.95e-06 3.05e-06 1.5e-06 2.05e-06 2.1e-06 2.15e-06 1.95e-06 2.95e-06 1.75e-06 1.9e-06 1.15e-06 2.15e-06 1.75e-06 1.8e-06 1.95e-06 2e-06 1.5e-06 1.7e-06 1.75e-06 2.25e-06 1.1e-06 2.1e-06 2.1e-06 1.85e-06 2.85e-06 1.1e-06 1.65e-06 1.55e-06 2.35e-06 1.9e-06 2.05e-06 2.15e-06 2.15e-06 2.1e-06 2.2e-06 1.95e-06 2.05e-06
35 1.6e-06 2.95e-06 1.75e-06 1.55e-06 2.25e-06 1.4e-06 1.25e-06 2.7e-06 1.6e-06 1.55e-06 2.2e-06 1.85e-06 2.35e-06 1.45e-06 2.4e-06 1.25e-06 1.85e-06 2.2e-06 2.15e-06 1.8e-06 2.05e-06 1.35e-06 1.3e-06 2.1e-06 2.55e-06 1.8e-06 1.75e-06 1.75e-06 2.05e-06 1.65e-06 1.65e-06 1.55e-06 1.75e-06 1.75e-06 1.95e-06 2.4e-06 1.35e-06
36 9.5e-07 2.4e-06 1.5e-06 9e-07 2.1e-06 5e-07 2e-07 2.3e-06 1.1e-06 1.05e-06 2.65e-06 1.3e-06 2.25e-06 9.5e-07 2.5e-06 3.5e-07 1.8e-06 2.9e-06 2.8e-06 1.15e-06 2.5e-06 5e-07 3.5e-07 2.8e-06 1.8e-06 1.95e-06 1.55e-06 1.2e-06 1.35e-06 2.6e-06 8.5e-07 8e-07 1.25e-06 9e-07 2.05e-06 1.35e-06 3e-07
